n,rmse,mae,bias,mape,coverage_80,coverage_95,width_80,width_95,ticker,horizon,order,completion
365,0.5441524437433057,0.42773512311259476,-0.0051345251354648165,5.462242933411433,81.0958904109589,95.06849315068493,1.4469615738290853,2.2129367619423377,BTC-USD,1,"(0, 1, 2)",1.0
359,0.571489042957068,0.4496752714414625,-0.0063928936907016445,5.738750278925447,83.84401114206128,96.93593314763231,1.564540733656789,2.392758569188031,BTC-USD,7,"(0, 1, 2)",0.9835616438356164
365,0.5358879142220018,0.42232594639057636,0.020924501812034695,8.68184931425944,81.91780821917808,94.79452054794521,1.3257145718054975,2.0275054741277883,ETH-USD,1,"(1, 1, 1)",1.0
359,0.591094148289355,0.47125088147506905,0.05148107533608159,9.671587625144394,80.22284122562674,93.87186629526462,1.4498611204467458,2.2173712358214237,ETH-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.5398378659020653,0.41625831882254555,0.01072453245504906,29.77980587726852,84.38356164383562,95.61643835616438,1.444901817173066,2.2097866359768648,XRP-USD,1,"(1, 1, 1)",1.0
359,0.6306367505474635,0.48358506863398915,0.040029318928503026,35.73554050746169,85.23676880222841,96.37883008356546,1.7757214191669257,2.7157315567435156,XRP-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.5118053813856485,0.40603950404386147,0.013313348951489463,13.554384316307765,82.46575342465754,96.43835616438356,1.3355515032161278,2.0425497624744953,BNB-USD,1,"(1, 1, 1)",1.0
359,0.6056850041983802,0.4822250984996423,0.04688897061076443,15.984698300421407,80.77994428969359,96.10027855153204,1.6274156372122355,2.48891743615312,BNB-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.47311324473956384,0.3551456012546631,-0.010156304128362756,18.60520286072966,81.36986301369863,93.69863013698631,1.1927281430775813,1.8241202824998928,SOL-USD,1,"(1, 1, 1)",1.0
359,0.5341756784224614,0.4116090310653325,-0.015469072777335982,21.232526685358533,82.72980501392759,95.82172701949861,1.4071896659518568,2.1521108778097027,SOL-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.5154991249981217,0.3807969651194339,-0.014932868727993202,8.409520873572777,85.2054794520548,96.7123287671233,1.3586056009386642,2.0778079623371255,TRX-USD,1,"(1, 1, 1)",1.0
359,0.5684562455506402,0.4423203107760076,-0.050580293705494606,9.202801102203338,85.51532033426183,97.21448467966573,1.585852062064006,2.4253514333878416,TRX-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.5238498463267821,0.40107834905945167,-0.026601651167738202,9.77955640835735,79.45205479452055,95.61643835616438,1.3267297280985533,2.029058021701028,DOGE-USD,1,"(1, 1, 1)",1.0
359,0.6090381511190491,0.4845721061861919,-0.05970776881623905,11.74329580071717,82.72980501392759,96.93593314763231,1.6444135843706669,2.514913552998784,DOGE-USD,7,"(1, 1, 1)",0.9835616438356164
365,0.5061666511932778,0.38446036134068423,-0.019363505639820235,14.388070990141234,78.35616438356165,94.24657534246576,1.2627870658804305,1.9312661587806528,ADA-USD,1,"(1, 1, 1)",1.0
359,0.5947919820823411,0.45921150043418496,-0.04025052056300971,17.12102249475061,83.56545961002786,95.82172701949861,1.5518206833296957,2.3733049309631467,ADA-USD,7,"(1, 1, 1)",0.9835616438356164
356,0.672505559673736,0.5234357542058942,-0.025458638603450705,4.429359485444351,83.70786516853933,95.50561797752809,1.797353451308074,2.748814894978951,HYPE-USD,1,"(0, 1, 2)",0.9753424657534246
350,0.8067781681587624,0.6292535803965734,-0.08464565032416922,5.319159862474259,88.85714285714286,97.71428571428571,2.530850165757469,3.8706013152455045,HYPE-USD,7,"(0, 1, 2)",0.958904109589041
365,0.4885690916065674,0.3817358072555828,0.021141268082912893,12.787256067030361,81.64383561643835,96.16438356164385,1.3451152205304402,2.0571762059187813,BCH-USD,1,"(1, 0, 1)",1.0
359,0.5376772857850101,0.4297208711672989,0.05442213800069244,14.346708264417073,86.62952646239555,98.32869080779945,1.612298151665049,2.465797237164717,BCH-USD,7,"(1, 0, 1)",0.9835616438356164
365,0.48338130676509516,0.37368178492268067,-0.020697011033023786,217.0229251550883,81.91780821917808,94.52054794520548,1.249310134035043,1.91065497016427,LINK-USD,1,"(0, 1, 2)",1.0
359,0.5606078018767673,0.44201491557506206,-0.04466600970803539,285.96033032872646,80.77994428969359,95.26462395543176,1.4317207406341423,2.189627919005708,LINK-USD,7,"(0, 1, 2)",0.9835616438356164
365,0.6385627700704142,0.49056774168161565,-0.02401803367576963,59.016197929946756,75.89041095890411,93.42465753424658,1.4945163132285826,2.2856654597357777,LEO-USD,1,"(0, 1, 1)",1.0
359,0.6929453666040405,0.5396866153389782,-0.049601168835823876,56.15058639280303,81.89415041782729,95.82172701949861,1.771976243204481,2.7100038043849617,LEO-USD,7,"(0, 1, 1)",0.9835616438356164
365,0.5085411714017658,0.37451058508992374,0.020091890442953172,59.0713608634201,79.72602739726027,92.87671232876711,1.2566687748935284,1.9219090401881063,ZEC-USD,1,"(0, 1, 2)",1.0
359,0.6525715969835952,0.48726954542420875,0.06314965546752206,64.03948242136752,77.71587743732591,91.92200557103064,1.4218913330853826,2.1745951374127586,ZEC-USD,7,"(0, 1, 2)",0.9835616438356164
365,0.5073765701846392,0.38907504530849774,0.007369564788363771,10.579857408293119,81.64383561643835,95.8904109589041,1.3235511747542008,2.024196843855857,XLM-USD,1,"(0, 1, 2)",1.0
359,0.6263262068706769,0.4932582366762497,0.039119077680386985,13.570935232927399,88.02228412256268,97.21448467966573,1.7433829528333136,2.6662741404106765,XLM-USD,7,"(0, 1, 2)",0.9835616438356164
365,0.4893540348004893,0.36397043756994724,0.07446795784955297,14.368109781276901,83.56164383561644,94.52054794520548,1.1941308059913258,1.8262654703076266,XMR-USD,1,"(1, 1, 1)",1.0
359,0.6536737727204319,0.5080735143751537,0.1676356850037978,20.048452846145157,74.3732590529248,91.36490250696379,1.4131512002847708,2.1612282577882023,XMR-USD,7,"(1, 1, 1)",0.9835616438356164
